1,4:13:32,4:13:32,15212,15212,1559.34,626.10,14%
2,2:10:51,2:06:46,7851,7606,630.60,277.50,11%
2,2:08:19,2:06:46,7699,7606,621.15,271.32,11%
4,1:30:30,1:03:23,5430,3803,364.14,163.08,9%
4,1:29:00,1:03:23,5340,3803,360.27,157.54,9%
4,1:28:57,1:03:23,5337,3803,355.54,159.76,9%
4,1:28:40,1:03:23,5320,3803,357.22,160.11,9%
8,1:14:16,0:31:42,4456,1902,186.82,83.24,6%
8,1:13:56,0:31:42,4436,1902,192.65,81.42,6%
8,1:14:10,0:31:42,4450,1902,190.09,82.40,6%
8,1:11:58,0:31:42,4318,1902,174.00,78.76,5%
8,1:10:43,0:31:42,4243,1902,174.94,75.96,5%
8,1:14:24,0:31:42,4464,1902,190.82,84.01,6%
8,1:13:16,0:31:42,4396,1902,184.80,81.01,6%
8,1:13:16,0:31:42,4396,1902,179.15,79.43,5%
16,1:05:13,0:15:51,3913,951,97.90,43.74,3%
16,1:04:49,0:15:51,3889,951,97.61,43.72,3%
16,1:04:32,0:15:51,3872,951,97.84,45.42,3%
16,1:04:44,0:15:51,3884,951,100.72,45.34,3%
16,1:05:48,0:15:51,3948,951,102.66,45.43,3%
16,1:03:52,0:15:51,3832,951,95.63,43.91,3%
16,1:02:57,0:15:51,3777,951,95.16,41.63,3%
16,0:59:11,0:15:51,3551,951,86.27,42.82,3%
16,0:54:13,0:15:51,3253,951,78.91,37.18,3%
16,1:05:50,0:15:51,3950,951,102.16,47.34,3%
16,1:05:28,0:15:51,3928,951,98.72,46.74,3%
16,1:04:55,0:15:51,3895,951,96.56,45.40,3%
16,1:04:32,0:15:51,3872,951,90.86,43.90,3%
16,1:04:36,0:15:51,3876,951,99.89,44.81,3%
16,0:59:31,0:15:51,3571,951,89.25,42.61,3%
16,1:05:03,0:15:51,3903,951,96.91,44.42,3%